sample_name,target_name,locus_id,ct_value,type
G-N1R3,HKludo01,LOC_Os06g11170,10.637567360891,Reference
G-N2R1,HKludo01,LOC_Os06g11170,10.7600937288822,Reference
G-N2R2,HKludo01,LOC_Os06g11170,10.6088301364973,Reference
G-N2R3,HKludo01,LOC_Os06g11170,10.4040860009463,Reference
G-N3R1,HKludo01,LOC_Os06g11170,11.4158549411215,Reference
G-N3R2,HKludo01,LOC_Os06g11170,10.8059475249769,Reference
G-N3R3,HKludo01,LOC_Os06g11170,10.8956805280334,Reference
G-N4R1,HKludo01,LOC_Os06g11170,11.0423086084597,Reference
G-N4R2,HKludo01,LOC_Os06g11170,11.6631326222814,Reference
G-N4R3,HKludo01,LOC_Os06g11170,11.8149960708238,Reference
B-N1R1,HKludo01,LOC_Os06g11170,11.6589959263438,Reference
B-N1R2,HKludo01,LOC_Os06g11170,12.3681563461244,Reference
B-N1R3,HKludo01,LOC_Os06g11170,11.1030487539908,Reference
B-N2R1,HKludo01,LOC_Os06g11170,11.8264995436955,Reference
B-N2R2,HKludo01,LOC_Os06g11170,11.560242572469,Reference
B-N2R3,HKludo01,LOC_Os06g11170,10.3959211796786,Reference
B-N3R1,HKludo01,LOC_Os06g11170,10.8558310562418,Reference
B-N3R2,HKludo01,LOC_Os06g11170,10.4710116031336,Reference
B-N3R3,HKludo01,LOC_Os06g11170,10.5037866207713,Reference
B-N4R1,HKludo01,LOC_Os06g11170,11.0169301092977,Reference
B-N4R2,HKludo01,LOC_Os06g11170,11.1297887580839,Reference
B-N4R3,HKludo01,LOC_Os06g11170,11.394714180895,Reference
I-N1R1,HKludo01,LOC_Os06g11170,12.866134787333,Reference
I-N1R2,HKludo01,LOC_Os06g11170,11.136155801105,Reference
I-N1R3,HKludo01,LOC_Os06g11170,11.4997289642236,Reference
I-N2R1,HKludo01,LOC_Os06g11170,11.5636648306357,Reference
I-N2R2,HKludo01,LOC_Os06g11170,11.4653552755826,Reference
I-N2R3,HKludo01,LOC_Os06g11170,11.4975472386151,Reference
I-N3R1,HKludo01,LOC_Os06g11170,10.132341214588,Reference
I-N3R2,HKludo01,LOC_Os06g11170,13.0233590655197,Reference
I-N3R3,HKludo01,LOC_Os06g11170,12.9581231883845,Reference
I-N4R1,HKludo01,LOC_Os06g11170,11.0919751194724,Reference
I-N4R2,HKludo01,LOC_Os06g11170,11.4654177271909,Reference
I-N4R3,HKludo01,LOC_Os06g11170,12.4839109747863,Reference
R-N1R1,HKludo01,LOC_Os06g11170,10.9231866529181,Reference
R-N1R2,HKludo01,LOC_Os06g11170,10.7034207568154,Reference
R-N1R3,HKludo01,LOC_Os06g11170,10.6701465686764,Reference
R-N2R1,HKludo01,LOC_Os06g11170,10.7932894421575,Reference
